risk,rust_file,upstream_file,mapped_by_parity,rust_tokens,upstream_tokens,token_cosine,generic_token_cosine,identifier_jaccard,shared_identifiers,code_shingles,generic_code_shingles,comment_shingles,shared_string_literals,example_shared_strings
medium,src/migrad/mod.rs,inc/Minuit2/MnMigrad.h,yes,648,126,0.5458,0.9023,0.0857,6,0,0,0,0,
medium,src/fcn.rs,inc/Minuit2/FCNBase.h,yes,744,262,0.5434,0.808,0.1014,7,0,0,0,0,
medium,src/parabola.rs,inc/Minuit2/MnParabolaPoint.h,yes,1005,68,0.5396,0.7867,0.0204,1,0,0,0,0,
medium,src/minos/mod.rs,inc/Minuit2/MnMinos.h,yes,912,233,0.5381,0.8901,0.1685,15,0,0,0,0,
medium,src/gradient/initial.rs,inc/Minuit2/InitialGradientCalculator.h,yes,466,130,0.5357,0.8755,0.1176,8,0,0,0,0,
medium,src/gradient/numerical.rs,inc/Minuit2/Numerical2PGradientCalculator.h,yes,1541,115,0.5302,0.8831,0.0784,8,0,0,0,0,
medium,src/hesse/gradient.rs,inc/Minuit2/HessianGradientCalculator.h,yes,646,193,0.5286,0.878,0.117,11,0,0,0,0,
medium,src/minimize/mod.rs,inc/Minuit2/MinimumBuilder.h,yes,1626,208,0.52,0.8756,0.0388,4,0,0,0,0,
medium,src/migrad/minimizer.rs,inc/Minuit2/ModularFunctionMinimizer.h,yes,466,163,0.5128,0.8814,0.0968,6,0,0,0,0,
medium,src/linesearch.rs,inc/Minuit2/MnLineSearch.h,yes,1652,112,0.5118,0.8448,0.0467,5,0,0,0,0,
medium,src/migrad/builder.rs,inc/Minuit2/NegativeG2LineSearch.h,yes,1615,71,0.5022,0.8507,0.0226,3,0,0,0,0,
medium,src/migrad/builder.rs,inc/Minuit2/MinimumErrorUpdator.h,yes,1615,59,0.4844,0.8653,0.0385,5,0,0,0,0,
medium,src/parabola.rs,inc/Minuit2/MnParabolaFactory.h,yes,1005,62,0.4698,0.7744,0.0417,2,0,0,0,0,
medium,src/migrad/seed.rs,inc/Minuit2/MnSeedGenerator.h,yes,1080,74,0.4447,0.8505,0.0417,4,0,0,0,0,
medium,src/simplex/builder.rs,inc/Minuit2/SimplexBuilder.h,yes,1505,61,0.4269,0.8761,0.0342,4,0,0,0,0,
medium,src/migrad/builder.rs,inc/Minuit2/BFGSErrorUpdator.h,yes,1615,43,0.4214,0.8826,0.0373,5,0,0,0,0,
medium,src/migrad/builder.rs,inc/Minuit2/DavidonErrorUpdator.h,yes,1615,43,0.4214,0.8826,0.0373,5,0,0,0,0,
medium,src/transform/sqrt_low.rs,inc/Minuit2/SqrtLowParameterTransformation.h,yes,455,83,0.4177,0.7658,0.1795,7,0,0,0,0,
medium,src/transform/sqrt_up.rs,inc/Minuit2/SqrtUpParameterTransformation.h,yes,457,83,0.4169,0.7654,0.1795,7,0,0,0,0,
medium,src/simplex/minimizer.rs,inc/Minuit2/SimplexMinimizer.h,yes,240,76,0.4094,0.9115,0.0816,4,0,0,0,0,
medium,src/scan/mod.rs,inc/Minuit2/ScanMinimizer.h,yes,675,76,0.4039,0.8629,0.0139,1,0,0,0,0,
medium,src/transform/sin.rs,inc/Minuit2/SinParameterTransformation.h,yes,727,99,0.3784,0.7175,0.1538,8,0,0,0,0,
medium,src/minimize/mod.rs,inc/Minuit2/CombinedMinimizer.h,yes,1626,74,0.3556,0.8724,0.0109,1,0,0,0,0,
low-review,src/fcn.rs,inc/Minuit2/FCNGradientBase.h,yes,744,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/fcn.rs,inc/Minuit2/MnUserFcn.h;src/MnUserFcn.cxx,yes,744,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/migrad/minimizer.rs,inc/Minuit2/FunctionMinimizer.h,yes,466,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/minimum/error.rs,inc/Minuit2/BasicFunctionMinimum.h,yes,639,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/minimum/error.rs,inc/Minuit2/BasicMinimumError.h;src/BasicMinimumError.cxx,yes,639,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/minimum/gradient.rs,inc/Minuit2/BasicFunctionGradient.h,yes,277,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/minimum/mod.rs,inc/Minuit2/BasicFunctionMinimum.h,yes,1360,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/minimum/parameters.rs,inc/Minuit2/BasicMinimumParameters.h,yes,239,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/minimum/seed.rs,inc/Minuit2/BasicMinimumSeed.h,yes,289,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/minimum/state.rs,inc/Minuit2/BasicMinimumState.h,yes,350,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/minos/function_cross.rs,inc/Minuit2/MnFunctionCross.h;src/MnFunctionCross.cxx,yes,2284,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/mn_fcn.rs,inc/Minuit2/MnUserFcn.h;src/MnUserFcn.cxx,yes,268,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/posdef.rs,src/mnteigen.cxx,yes,926,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/precision.rs,inc/Minuit2/MnConfig.h,yes,305,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/scan/mod.rs,inc/Minuit2/MnScan.h;src/MnScan.cxx,yes,675,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/simplex/minimizer.rs,inc/Minuit2/FunctionMinimizer.h,yes,240,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/strategy.rs,inc/Minuit2/MnConfig.h,yes,1865,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/user_parameter_state.rs,inc/Minuit2/BasicFunctionMinimum.h,yes,1543,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low-review,src/user_transformation.rs,inc/Minuit2/MnVectorTransform.h,yes,2894,0,0.0,0.0,0.0,0,0,0,0,0,upstream file not present in sparse checkout
low,src/user_transformation.rs,src/Minuit2Minimizer.cxx,no,2894,7525,0.8283,0.9465,0.0657,27,2,4,0,0,
low,src/gradient/analytical.rs,test/testMinimizer.cxx,no,1312,4977,0.7803,0.9376,0.0222,6,2,3,0,0,
low,src/user_transformation.rs,test/testMinimizer.cxx,no,2894,4977,0.6679,0.8863,0.0342,10,2,3,0,0,
low,src/bin/ref_compare_runner.rs,src/Minuit2Minimizer.cxx,no,2668,7525,0.8034,0.9368,0.0795,33,0,0,0,1,minimize
low,src/gradient/analytical.rs,src/Numerical2PGradientCalculator.cxx,no,1312,1240,0.7786,0.9437,0.0915,15,1,1,0,0,
low,src/hesse/calculator.rs,src/Numerical2PGradientCalculator.cxx,no,1392,1240,0.7718,0.9365,0.0795,14,1,2,0,0,
low,src/gradient/numerical.rs,src/Numerical2PGradientCalculator.cxx,no,1541,1240,0.7716,0.942,0.2,29,1,2,0,0,
low,src/hesse/gradient.rs,src/Numerical2PGradientCalculator.cxx,no,646,1240,0.7674,0.946,0.188,25,1,1,0,0,
low,src/gradient/numerical.rs,test/testMinuit2.cxx,no,1541,1071,0.7416,0.9028,0.0534,7,1,2,0,0,
low,src/gradient/initial.rs,src/Numerical2PGradientCalculator.cxx,no,466,1240,0.7385,0.9405,0.1024,13,1,1,0,0,
low,src/migrad/seed.rs,src/Numerical2PGradientCalculator.cxx,no,1080,1240,0.7264,0.9347,0.1126,17,1,5,0,0,
low,src/simplex/seed.rs,src/Numerical2PGradientCalculator.cxx,no,342,1240,0.6766,0.9189,0.0806,10,1,4,0,0,
low,src/minos/function_cross.rs,src/MnHesse.cxx,no,2284,3081,0.9066,0.9777,0.0672,18,0,6,0,0,
low,src/minos/function_cross.rs,src/FumiliBuilder.cxx,no,2284,2970,0.9061,0.9828,0.0593,15,0,6,0,0,
low,src/minos/function_cross.rs,src/MnContours.cxx,no,2284,3126,0.9042,0.9834,0.0989,26,0,16,0,0,
low,src/simplex/builder.rs,src/SimplexBuilder.cxx,no,1505,1671,0.9032,0.9839,0.1488,25,0,8,0,0,
low,src/bin/ref_compare_runner.rs,src/MnContours.cxx,no,2668,3126,0.9019,0.9663,0.0659,17,0,4,0,0,
low,src/minos/function_cross.rs,src/MnLineSearch.cxx,no,2284,4579,0.8982,0.9828,0.0613,16,0,2,0,0,
low,src/bin/ref_compare_runner.rs,src/FumiliBuilder.cxx,no,2668,2970,0.897,0.9683,0.0763,18,0,11,0,0,
