upstream_repo,upstream_subdir,upstream_ref,upstream_commit,upstream_file,upstream_symbol,upstream_line,rust_file,rust_symbol,rust_line,status,rationale
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,XMin,61,src/contours/contours_error.rs,x_min,37,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,Xpar,53,src/contours/contours_error.rs,xpar,25,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,YMin,62,src/contours/contours_error.rs,y_min,41,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,Ypar,54,src/contours/contours_error.rs,ypar,29,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/DavidonErrorUpdator.h,Update,18,src/migrad/builder.rs,update,402,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,ErrorDef,40,src/fcn.rs,error_def,17,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,G2,63,src/fcn.rs,g2,53,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,Gradient,51,src/fcn.rs,gradient,86,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,GradientWithPrevResult,52,src/fcn.rs,gradient_with_prev_result,37,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,gradParameterSpace,58,src/fcn.rs,grad_parameter_space,48,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,HasG2,70,src/fcn.rs,g2,53,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,HasGradient,49,src/fcn.rs,has_gradient,32,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,HasHessian,68,src/fcn.rs,hessian,58,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,Hessian,66,src/fcn.rs,hessian,58,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,operator(),36,src/fcn.rs,value,14,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,SetErrorDef,47,src/fcn.rs,set_error_def,29,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,Up,44,src/fcn.rs,up,22,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNGradientBase.h,HasGradient,20,src/fcn.rs,has_gradient,32,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionGradient.h,HasG2,46,src/minimum/gradient.rs,g2,51,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionGradient.h,IsAnalytical,45,src/minimum/gradient.rs,analytical,36,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionGradient.h,IsValid,44,src/minimum/gradient.rs,is_valid,59,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimizer.h,<no_symbol_extracted>,,src/migrad/minimizer.rs;src/simplex/minimizer.rs,,,needs-review,source unavailable: inc/Minuit2/FunctionMinimizer.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/FunctionMinimizer.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,Add,55,src/user_parameter_state.rs,add,127,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,Edm,84,src/minimum/mod.rs,edm,196,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,Fval,83,src/minimum/mod.rs,fval,191,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasAccurateCovar,91,src/minimum/error.rs,is_accurate,92,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasCovariance,95,src/user_parameter_state.rs,has_covariance,83,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasMadePosDefCovar,93,src/minimum/mod.rs,has_made_pos_def_covar,219,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasPosDefCovar,92,src/minimum/error.rs,is_pos_def,96,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasReachedCallLimit,97,src/minimum/error.rs,has_reached_call_limit,116,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasValidCovariance,90,src/user_parameter_state.rs,has_covariance,83,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasValidParameters,89,src/minimum/mod.rs,has_valid_parameters,215,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HesseFailed,94,src/minimum/error.rs,hesse_failed,101,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,IsAboveMaxEdm,96,src/minimum/mod.rs,above_max_edm,59,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,IsValid,88,src/minimum/error.rs,is_valid,88,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,NFcn,85,src/minimum/mod.rs,nfcn,201,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,SetErrorDef,99,src/minimum/mod.rs,set_error_def,243,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,Up,87,src/minimum/mod.rs,up,206,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/GradientCalculator.h,G2,30,,,,needs-review,architectural refactor; no 1:1 symbol match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/GradientCalculator.h,Hessian,28,,,,needs-review,architectural refactor; no 1:1 symbol match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/GradientCalculator.h,operator(),24,,,,intentionally-skipped,constructor/destructor/operator handled idiomatically in Rust
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/GradientCalculator.h,operator(),26,,,,intentionally-skipped,constructor/destructor/operator handled idiomatically in Rust
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/HessianGradientCalculator.h,Ncycle,44,src/hesse/gradient.rs,ncycle,19,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/HessianGradientCalculator.h,operator(),32,,,,intentionally-skipped,constructor/destructor/operator handled idiomatically in Rust
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/HessianGradientCalculator.h,operator(),34,,,,intentionally-skipped,constructor/destructor/operator handled idiomatically in Rust
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/InitialGradientCalculator.h,operator(),25,src/gradient/initial.rs,new,23,intentionally-skipped,constructor/destructor/operator handled idiomatically in Rust
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/InitialGradientCalculator.h,operator(),27,src/gradient/initial.rs,new,23,intentionally-skipped,constructor/destructor/operator handled idiomatically in Rust
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/MinimumBuilder.h,Minimum,30,src/migrad/builder.rs,minimum,27,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/MinimumBuilder.h,MinimumBuilder,26,src/minimize/mod.rs,new,28,needs-review,multiple Rust symbol candidates
