legacy_id,upstream_repo,upstream_subdir,upstream_ref,upstream_commit,upstream_file,upstream_symbol,upstream_line,rust_file,rust_symbol,rust_line,raw_status,effective_status,waived,waiver_type,waiver_reason,waiver_source,ambiguous_implemented,rationale
inc/Minuit2/BasicMinimumState.h::<no_symbol_extracted>@na,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicMinimumState.h,<no_symbol_extracted>,,src/minimum/state.rs,,,needs-review,waived,true,tooling,Upstream source extraction unavailable at pinned tag; tracked as tooling limitation.,rule,false,source unavailable: inc/Minuit2/BasicMinimumState.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicMinimumState.h: 404
inc/Minuit2/CombinedMinimizer.h::<no_symbol_extracted>@na,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimizer.h,<no_symbol_extracted>,,src/minimize/mod.rs,,,needs-review,unresolved,false,,,,false,unable to extract symbols with heuristic parser
inc/Minuit2/CombinedMinimumBuilder.h::Minimum@20,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,Minimum,20,,,,needs-review,waived,true,architectural,Intentional architectural refactor; no strict 1:1 symbol expected.,rule,false,architectural refactor; no 1:1 symbol match
inc/Minuit2/CombinedMinimumBuilder.h::SetPrintLevel@24,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,SetPrintLevel,24,,,,needs-review,waived,true,architectural,Intentional architectural refactor; no strict 1:1 symbol expected.,rule,false,architectural refactor; no 1:1 symbol match
inc/Minuit2/CombinedMinimumBuilder.h::SetStorageLevel@30,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,SetStorageLevel,30,,,,needs-review,waived,true,architectural,Intentional architectural refactor; no strict 1:1 symbol expected.,rule,false,architectural refactor; no 1:1 symbol match
inc/Minuit2/CombinedMinimumBuilder.h::SetTraceObject@38,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,SetTraceObject,38,,,,needs-review,waived,true,architectural,Intentional architectural refactor; no strict 1:1 symbol expected.,rule,false,architectural refactor; no 1:1 symbol match
inc/Minuit2/ContoursError.h::NFcn@60,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,NFcn,60,src/contours/contours_error.rs,nfcn,33,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/ContoursError.h::XMin@61,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,XMin,61,src/contours/contours_error.rs,x_min,37,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/ContoursError.h::Xpar@53,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,Xpar,53,src/contours/contours_error.rs,xpar,25,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/ContoursError.h::YMin@62,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,YMin,62,src/contours/contours_error.rs,y_min,41,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/ContoursError.h::Ypar@54,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,Ypar,54,src/contours/contours_error.rs,ypar,29,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/DavidonErrorUpdator.h::Update@18,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/DavidonErrorUpdator.h,Update,18,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FCNBase.h::ErrorDef@40,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,ErrorDef,40,src/fcn.rs,error_def,11,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FCNBase.h::G2@63,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,G2,63,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FCNBase.h::Gradient@51,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,Gradient,51,src/fcn.rs,gradient,29,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FCNBase.h::GradientWithPrevResult@52,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,GradientWithPrevResult,52,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FCNBase.h::gradParameterSpace@58,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,gradParameterSpace,58,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FCNBase.h::HasG2@70,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,HasG2,70,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FCNBase.h::HasGradient@49,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,HasGradient,49,src/fcn.rs,gradient,29,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FCNBase.h::HasHessian@68,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,HasHessian,68,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FCNBase.h::Hessian@66,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,Hessian,66,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FCNBase.h::operator()@36,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,operator(),36,src/fcn.rs,value,8,needs-review,implemented,false,,,,true,multiple Rust symbol candidates
inc/Minuit2/FCNBase.h::SetErrorDef@47,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,SetErrorDef,47,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FCNBase.h::Up@44,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,Up,44,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FCNGradientBase.h::HasGradient@20,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNGradientBase.h,HasGradient,20,src/fcn.rs,gradient,29,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FunctionGradient.h::HasG2@46,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionGradient.h,HasG2,46,src/minimum/gradient.rs,g2,51,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FunctionGradient.h::IsAnalytical@45,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionGradient.h,IsAnalytical,45,src/minimum/gradient.rs,analytical,36,needs-review,implemented,false,,,,true,multiple Rust symbol candidates
inc/Minuit2/FunctionGradient.h::IsValid@44,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionGradient.h,IsValid,44,src/minimum/gradient.rs,is_valid,59,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FunctionMinimizer.h::<no_symbol_extracted>@na,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimizer.h,<no_symbol_extracted>,,src/migrad/minimizer.rs;src/simplex/minimizer.rs,,,needs-review,waived,true,tooling,Upstream source extraction unavailable at pinned tag; tracked as tooling limitation.,rule,false,source unavailable: inc/Minuit2/FunctionMinimizer.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/FunctionMinimizer.h: 404
inc/Minuit2/FunctionMinimum.h::Add@55,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,Add,55,src/user_parameter_state.rs,add,108,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FunctionMinimum.h::Edm@84,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,Edm,84,src/minimum/mod.rs,edm,129,needs-review,implemented,false,,,,true,multiple Rust symbol candidates
inc/Minuit2/FunctionMinimum.h::Fval@83,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,Fval,83,src/minimum/mod.rs,fval,124,needs-review,implemented,false,,,,true,multiple Rust symbol candidates
inc/Minuit2/FunctionMinimum.h::HasAccurateCovar@91,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasAccurateCovar,91,src/minimum/error.rs,is_accurate,88,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FunctionMinimum.h::HasCovariance@95,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasCovariance,95,src/user_parameter_state.rs,has_covariance,83,needs-review,implemented,false,,,,true,multiple Rust symbol candidates
inc/Minuit2/FunctionMinimum.h::HasMadePosDefCovar@93,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasMadePosDefCovar,93,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FunctionMinimum.h::HasPosDefCovar@92,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasPosDefCovar,92,src/minimum/error.rs,is_pos_def,92,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FunctionMinimum.h::HasReachedCallLimit@97,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasReachedCallLimit,97,src/minimum/mod.rs,reached_call_limit,154,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FunctionMinimum.h::HasValidCovariance@90,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasValidCovariance,90,src/user_parameter_state.rs,has_covariance,83,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FunctionMinimum.h::HasValidParameters@89,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HasValidParameters,89,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FunctionMinimum.h::HesseFailed@94,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,HesseFailed,94,src/minimum/error.rs,hesse_failed,97,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/FunctionMinimum.h::IsAboveMaxEdm@96,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,IsAboveMaxEdm,96,src/minimum/mod.rs,above_max_edm,58,needs-review,implemented,false,,,,true,multiple Rust symbol candidates
inc/Minuit2/FunctionMinimum.h::IsValid@88,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,IsValid,88,src/minimum/error.rs,is_valid,84,needs-review,implemented,false,,,,true,multiple Rust symbol candidates
inc/Minuit2/FunctionMinimum.h::NFcn@85,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,NFcn,85,src/minimum/mod.rs,nfcn,134,needs-review,implemented,false,,,,true,multiple Rust symbol candidates
inc/Minuit2/FunctionMinimum.h::SetErrorDef@99,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,SetErrorDef,99,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/FunctionMinimum.h::Up@87,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionMinimum.h,Up,87,src/minimum/mod.rs,up,139,implemented,implemented,false,,,,false,symbol name match
inc/Minuit2/GradientCalculator.h::G2@30,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/GradientCalculator.h,G2,30,,,,needs-review,waived,true,architectural,Intentional architectural refactor; no strict 1:1 symbol expected.,rule,false,architectural refactor; no 1:1 symbol match
inc/Minuit2/GradientCalculator.h::Hessian@28,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/GradientCalculator.h,Hessian,28,,,,needs-review,waived,true,architectural,Intentional architectural refactor; no strict 1:1 symbol expected.,rule,false,architectural refactor; no 1:1 symbol match
inc/Minuit2/GradientCalculator.h::operator()@24,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/GradientCalculator.h,operator(),24,,,,intentionally-skipped,waived,true,intentional,constructor/destructor/operator handled idiomatically in Rust,auto-intentional,false,constructor/destructor/operator handled idiomatically in Rust
inc/Minuit2/GradientCalculator.h::operator()@26,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/GradientCalculator.h,operator(),26,,,,intentionally-skipped,waived,true,intentional,constructor/destructor/operator handled idiomatically in Rust,auto-intentional,false,constructor/destructor/operator handled idiomatically in Rust
inc/Minuit2/HessianGradientCalculator.h::Ncycle@44,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/HessianGradientCalculator.h,Ncycle,44,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
