case_id,impl,batch_id,sample_index,time_s
cern_dimuon,rust,6,11,0.000637167
cern_dimuon,rust,6,12,0.000626727
cern_dimuon,rust,6,13,0.000609164
cern_dimuon,rust,6,14,0.000620547
cern_dimuon,rust,6,15,0.000619574
cern_dimuon,rust,6,16,0.000607572
cern_dimuon,rust,6,17,0.000619534
cern_dimuon,rust,6,18,0.000620667
cern_dimuon,rust,6,19,0.000610968
cern_dimuon,rust,6,20,0.000621799
cern_dimuon,rust,6,21,0.000611479
cern_dimuon,rust,6,22,0.000620816
cern_dimuon,rust,6,23,0.000620315
cern_dimuon,rust,6,24,0.000611089
cern_dimuon,rust,6,25,0.000623141
cern_dimuon,rust,6,26,0.000621979
cern_dimuon,rust,6,27,0.000614785
cern_dimuon,rust,6,28,0.000620095
cern_dimuon,rust,6,29,0.000611390
cern_dimuon,rust,6,30,0.000621017
cern_dimuon,rust,6,31,0.000623672
cern_dimuon,rust,6,32,0.000610477
cern_dimuon,rust,6,33,0.000620546
cern_dimuon,rust,6,34,0.000610308
cern_dimuon,rust,6,35,0.000616919
cern_dimuon,rust,6,36,0.000620306
cern_dimuon,rust,6,37,0.000609676
cern_dimuon,rust,6,38,0.000619785
cern_dimuon,rust,6,39,0.000620015
cern_dimuon,rust,6,40,0.000610427
cern_dimuon,cpp,4,0,0.000786155
cern_dimuon,cpp,4,1,0.000794269
cern_dimuon,cpp,4,2,0.001087876
cern_dimuon,cpp,4,3,0.001273973
cern_dimuon,cpp,4,4,0.001266149
cern_dimuon,cpp,4,5,0.001283000
cern_dimuon,cpp,4,6,0.001257393
cern_dimuon,cpp,4,7,0.001096022
cern_dimuon,cpp,4,8,0.000774032
cern_dimuon,cpp,4,9,0.000749336
cern_dimuon,cpp,4,10,0.000761889
cern_dimuon,cpp,4,11,0.000788088
cern_dimuon,cpp,4,12,0.000763883
cern_dimuon,cpp,4,13,0.000766549
cern_dimuon,cpp,4,14,0.000776727
cern_dimuon,cpp,4,15,0.000769614
cern_dimuon,cpp,4,16,0.000763582
cern_dimuon,cpp,4,17,0.000760387
cern_dimuon,cpp,4,18,0.000746992
cern_dimuon,cpp,4,19,0.000760947
cern_dimuon,cpp,4,20,0.000760888
cern_dimuon,cpp,4,21,0.000758724
cern_dimuon,cpp,4,22,0.000746270
cern_dimuon,cpp,4,23,0.000758824
cern_dimuon,cpp,4,24,0.000760627
cern_dimuon,cpp,4,25,0.000761449
cern_dimuon,cpp,4,26,0.000750358
cern_dimuon,cpp,4,27,0.000760346
cern_dimuon,cpp,4,28,0.000762191
cern_dimuon,cpp,4,29,0.000760166
cern_dimuon,cpp,4,30,0.000746070
cern_dimuon,cpp,4,31,0.000761048
cern_dimuon,cpp,4,32,0.000759916
cern_dimuon,cpp,4,33,0.000758453
cern_dimuon,cpp,4,34,0.000745799
cern_dimuon,cpp,4,35,0.000759055
cern_dimuon,cpp,4,36,0.000759905
cern_dimuon,cpp,4,37,0.000760257
cern_dimuon,cpp,4,38,0.000760687
cern_dimuon,cpp,4,39,0.000747182
cern_dimuon,cpp,4,40,0.000764975
noaa_co2,rust,6,0,0.011541192
noaa_co2,rust,6,1,0.011567671
noaa_co2,rust,6,2,0.011587027
noaa_co2,rust,6,3,0.011557622
noaa_co2,rust,6,4,0.011540010
noaa_co2,rust,6,5,0.011542034
noaa_co2,rust,6,6,0.011588571
noaa_co2,rust,6,7,0.011524811
noaa_co2,rust,6,8,0.011533327
noaa_co2,rust,6,9,0.011536333
noaa_co2,rust,6,10,0.011533969
noaa_co2,rust,6,11,0.011564436
noaa_co2,rust,6,12,0.011554056
noaa_co2,rust,6,13,0.011532555
noaa_co2,rust,6,14,0.011531424
noaa_co2,rust,6,15,0.011527787
noaa_co2,rust,6,16,0.011588761
noaa_co2,rust,6,17,0.011535551
noaa_co2,rust,6,18,0.011576688
noaa_co2,rust,6,19,0.011538737
noaa_co2,rust,6,20,0.011535311
noaa_co2,rust,6,21,0.011531955
noaa_co2,rust,6,22,0.011544147
noaa_co2,rust,6,23,0.011554717
noaa_co2,rust,6,24,0.011528968
noaa_co2,rust,6,25,0.011544408
noaa_co2,rust,6,26,0.011523578
noaa_co2,rust,6,27,0.011550529
noaa_co2,rust,6,28,0.011516486
noaa_co2,rust,6,29,0.011533127
noaa_co2,rust,6,30,0.011529451
noaa_co2,rust,6,31,0.011529670
noaa_co2,rust,6,32,0.011573332
noaa_co2,rust,6,33,0.011530652
noaa_co2,rust,6,34,0.011539609
noaa_co2,rust,6,35,0.011522777
noaa_co2,rust,6,36,0.011578270
noaa_co2,rust,6,37,0.011525083
noaa_co2,rust,6,38,0.011539339
noaa_co2,rust,6,39,0.011519541
noaa_co2,rust,6,40,0.011604500
usgs_earthquakes,rust,0,0,0.000012954
usgs_earthquakes,rust,0,1,0.000012533
usgs_earthquakes,rust,0,2,0.000012383
